competencia,territorio,populacao_estimada,chamados,tempo_medio_h,chuva_mm,temperatura_c,cobertura_servico_pct,nivel_pressao,origem
2024-06-01,Ribeira,17997,43,49.61,105.48,24.72,69.92,Moderado,SINTETICO_DEMONSTRACAO
2024-07-01,Ribeira,17997,41,45.2,84.51,24.93,59.92,Moderado,SINTETICO_DEMONSTRACAO
2024-08-01,Ribeira,17997,44,51.01,80.93,22.18,58.33,Moderado,SINTETICO_DEMONSTRACAO
2024-09-01,Ribeira,17997,45,44.36,8,17.79,63.66,Moderado,SINTETICO_DEMONSTRACAO
2024-10-01,Ribeira,17997,54,58.53,52.24,20.75,55.68,Alto,SINTETICO_DEMONSTRACAO
2024-11-01,Ribeira,17997,42,52.33,31.19,17.96,53.34,Moderado,SINTETICO_DEMONSTRACAO
2024-12-01,Ribeira,17997,49,53.75,67.68,19.72,49.16,Alto,SINTETICO_DEMONSTRACAO
2025-01-01,Ribeira,17997,37,38.96,111.22,20.13,53.96,Baixo,SINTETICO_DEMONSTRACAO
2025-02-01,Ribeira,17997,42,50.1,151.45,20.74,66.44,Moderado,SINTETICO_DEMONSTRACAO
2025-03-01,Ribeira,17997,49,50.39,182.9,24.25,54.93,Moderado,SINTETICO_DEMONSTRACAO
2025-04-01,Ribeira,17997,58,49.97,221.66,25.45,60.49,Alto,SINTETICO_DEMONSTRACAO
2025-05-01,Ribeira,17997,52,56.18,175.98,26.29,64.43,Alto,SINTETICO_DEMONSTRACAO
2025-06-01,Ribeira,17997,55,62.29,146.53,25.15,51.88,Alto,SINTETICO_DEMONSTRACAO
2025-07-01,Ribeira,17997,47,55.67,139.25,25.38,55.23,Alto,SINTETICO_DEMONSTRACAO
2025-08-01,Ribeira,17997,50,53.12,98.66,26.39,52.41,Alto,SINTETICO_DEMONSTRACAO
2025-09-01,Ribeira,17997,44,51.34,31.42,19.14,62.27,Moderado,SINTETICO_DEMONSTRACAO
2025-10-01,Ribeira,17997,47,51.44,26.92,18.94,54.75,Moderado,SINTETICO_DEMONSTRACAO
2025-11-01,Ribeira,17997,45,50.21,32.99,20.33,51.78,Moderado,SINTETICO_DEMONSTRACAO
2025-12-01,Ribeira,17997,43,45.95,47.17,17.57,49.3,Moderado,SINTETICO_DEMONSTRACAO
2024-01-01,Vila Verde,19057,42,47.83,136.74,22.33,66.2,Moderado,SINTETICO_DEMONSTRACAO
2024-02-01,Vila Verde,19057,51,55.93,176.36,20.97,68.99,Moderado,SINTETICO_DEMONSTRACAO
2024-03-01,Vila Verde,19057,54,52.99,178.06,26.55,59.14,Alto,SINTETICO_DEMONSTRACAO
2024-04-01,Vila Verde,19057,46,55.58,234.25,23.9,66.84,Moderado,SINTETICO_DEMONSTRACAO
2024-05-01,Vila Verde,19057,56,45.9,210.38,26.57,64.03,Moderado,SINTETICO_DEMONSTRACAO
2024-06-01,Vila Verde,19057,53,57.69,146.17,27.02,56.79,Alto,SINTETICO_DEMONSTRACAO
2024-07-01,Vila Verde,19057,47,54.33,86.71,22.71,62.81,Moderado,SINTETICO_DEMONSTRACAO
2024-08-01,Vila Verde,19057,42,52.91,38.62,22.05,73.28,Moderado,SINTETICO_DEMONSTRACAO
2024-09-01,Vila Verde,19057,44,43.16,58.17,21.43,68.34,Moderado,SINTETICO_DEMONSTRACAO
2024-10-01,Vila Verde,19057,42,45.8,39.17,19.25,65.28,Moderado,SINTETICO_DEMONSTRACAO
2024-11-01,Vila Verde,19057,46,49.69,65.3,18.26,76.38,Moderado,SINTETICO_DEMONSTRACAO
2024-12-01,Vila Verde,19057,44,55.16,47.0,19.03,62.37,Moderado,SINTETICO_DEMONSTRACAO
2025-01-01,Vila Verde,19057,44,49.24,111.0,19.78,63.5,Moderado,SINTETICO_DEMONSTRACAO
2025-02-01,Vila Verde,19057,42,42.14,156.29,22.42,74.48,Baixo,SINTETICO_DEMONSTRACAO
2025-03-01,Vila Verde,19057,54,58.71,175.49,24.5,64.0,Alto,SINTETICO_DEMONSTRACAO
2025-04-01,Vila Verde,19057,60,65.43,203.78,26.5,59.68,Alto,SINTETICO_DEMONSTRACAO
2025-05-01,Vila Verde,19057,52,56.42,182.73,26.58,61.3,Alto,SINTETICO_DEMONSTRACAO
2025-06-01,Vila Verde,19057,46,52.19,174.28,25.47,62.55,Moderado,SINTETICO_DEMONSTRACAO
2025-07-01,Vila Verde,19057,51,39.39,166.22,26.27,70.57,Moderado,SINTETICO_DEMONSTRACAO
2025-08-01,Vila Verde,19057,41,46.55,70.98,21.37,63.34,Moderado,SINTETICO_DEMONSTRACAO
2025-09-01,Vila Verde,19057,45,42.74,60.7,20.29,73.77,Moderado,SINTETICO_DEMONSTRACAO
2025-10-01,Vila Verde,19057,47,47.09,62.59,17.43,58.8,Moderado,SINTETICO_DEMONSTRACAO
2025-11-01,Vila Verde,19057,44,47.92,70.57,18.71,66.21,Moderado,SINTETICO_DEMONSTRACAO
2025-12-01,Vila Verde,19057,48,50.14,49.82,18.29,58.34,Moderado,SINTETICO_DEMONSTRACAO
